,Symbol,Ann_Volatility,Sharpe,Sortino,Max_Drawdown,Mean_Daily_Return,Ann_Return_Pct
0,ASIANPAINT,0.3495,0.5133,0.4429,0.9248,0.0009,23.7704
1,AXISBANK,0.4738,0.3614,0.3449,0.8502,0.0009,22.9512
2,BAJFINANCE,0.4909,0.746,0.7274,0.9328,0.0017,42.4454
3,BHARTIARTL,0.3901,0.272,0.2749,0.7847,0.0007,16.4361
4,BPCL,0.4315,0.0914,0.0863,0.7731,0.0004,9.7702
5,BRITANNIA,0.3496,0.3621,0.3192,0.8536,0.0007,18.4875
6,CIPLA,0.3846,0.0809,0.0709,0.8855,0.0004,8.9375
7,DRREDDY,0.3277,0.2371,0.2253,0.7779,0.0005,13.5989
8,EICHERMOT,0.4599,0.52,0.5094,0.9382,0.0012,29.7407
9,GAIL,0.402,0.0054,0.0051,0.8723,0.0002,6.0462
10,GRASIM,0.3841,0.1471,0.133,0.9243,0.0005,11.479
11,HCLTECH,0.4264,0.2465,0.224,0.8715,0.0006,16.3389
12,HDFC,0.4048,0.3212,0.3013,0.8147,0.0007,18.8317
13,HDFCBANK,0.3833,0.3314,0.2935,0.8418,0.0007,18.5333
14,HEROMOTOCO,0.3188,0.3119,0.3307,0.6163,0.0006,15.7703
15,HINDALCO,0.4953,0.0969,0.0897,0.9743,0.0004,10.6247
16,HINDUNILVR,0.2816,0.4531,0.4898,0.4774,0.0007,18.5846
17,ICICIBANK,0.4532,0.2532,0.2393,0.898,0.0007,17.3034
18,INDUSINDBK,0.4904,0.4956,0.5287,0.8511,0.0012,30.133
19,INFY,0.4318,-0.0246,-0.0201,0.9068,0.0002,4.766
20,IOC,0.417,-0.1291,-0.117,0.91,0.0,0.4419
21,ITC,0.3935,0.0074,0.0062,0.9405,0.0002,6.1179
22,KOTAKBANK,0.4716,0.3436,0.3079,0.8451,0.0009,22.035
23,MARUTI,0.3383,0.4737,0.495,0.6134,0.0009,21.8521
24,MM,0.4212,0.1861,0.1691,0.8272,0.0005,13.6654
25,ONGC,0.4116,-0.1586,-0.1418,0.9596,-0.0,-0.7002
26,RELIANCE,0.3818,0.2578,0.2344,0.7901,0.0006,15.6713
27,SBIN,0.4379,0.1406,0.1281,0.9568,0.0005,11.984
28,SHREECEM,0.3551,0.9135,1.0057,0.7997,0.0015,38.2645
29,SUNPHARMA,0.4143,0.1644,0.1419,0.8606,0.0005,12.6402
30,TATAMOTORS,0.4862,0.1296,0.1233,0.9522,0.0005,12.1284
31,TATASTEEL,0.4454,0.2123,0.2089,0.8495,0.0006,15.2838
32,TITAN,0.4781,0.6142,0.5778,0.9669,0.0014,35.1922
33,UPL,0.4771,0.1893,0.1746,0.9253,0.0006,14.8573
34,VEDL,0.5634,0.2545,0.2397,0.9858,0.0008,20.1639
35,WIPRO,0.421,-0.0499,-0.0424,0.9062,0.0001,3.7268
36,ZEEL,0.4664,0.1412,0.1386,0.8058,0.0005,12.4122
